Level 1	Level 2	Category	Product counts
Man, Women	Accessories	Accessories > Beanies	2
Women	Accessories	Accessories > Beauty	66
Women	Accessories	Accessories > Beauty > Fragrance	8
Women	Accessories	Accessories > Hair Accessories	53
Man, Women	Accessories	Accessories > Hats	58
Women	Accessories	Accessories > Headband	1
Man, Women	Accessories	Accessories > Scarves + Gloves	39
Man, Women	Accessories	ANKLET	6
Man, Women	Accessories	anklet	25
Man, Women	Accessories	Anklet	2
Man, Women	Accessories	Anklets	15
Man, Women	Accessories	Apparel & Accessories > Clothing accessories	1325
Women	Accessories	Apparel & Accessories > Clothing accessories > Hair Accessories	67
Man, Women	Accessories	Apparel & Accessories > Clothing accessories > Hats	96
Man, Women	Accessories	Apparel & Accessories > Clothing accessories > Scarves & Shawls	30
Man, Women	Accessories	Apparel & Accessories > Costumes & Accessories	6704
Women	Accessories	Apparel + Beauty>Fashion Accessories>Purses, Totes + Wallets	93
Man, Women	Accessories	Arm&LegWarmers	65
Man, Women	Accessories	Baby Clothing Accessories	5816
Man, Women	Accessories	Bandanas	36
Man, Women	Accessories	BandRings	272
Man, Women	Accessories	Bangle	236
Man	Accessories	Basketball Protective Gear	82
Man, Women	Accessories	BeadedNecklaces	88
Man, Women	Accessories	Beanie/SkullCaps	339
Man, Women	Accessories	Beanies	45
Man, Women	Accessories	beWild Clothing Companies.  Shop by Brand>Temporary Fake Tattoos and Sleeves Tattoo Clothing :: Slip on Tattoo Sleeves>Sleeve Tattoo - Slip On Fake Tattoo Sleeves	35
Man, Women	Accessories	beWild Clothing Companies.  Shop by Brand>Temporary Fake Tattoos and Sleeves Tattoo Clothing :: Slip on Tattoo Sleeves>Temporary Tattoo Kits>Temporary Tattoos  Full Back Temporary Tattoos  Temporary Face Tattoos	169
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>14Kt Gold Body Jewelry	22
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Cheap Body Jewelry On Sale	31
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Ear Jewelry	33
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Eyebrow Jewelry  Eyebrow Rings  Body Jewelry	38
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Magnetic Earrings and Fake Non Piercing Body Jewelry	40
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Plugs, Earlets & Flesh Tunnels	53
Man, Women	Accessories	Body Piercing Body Jewelry Temporary Tattoos>Tongue Body Jewelry - Tongue Barbells ? Tongue Rings	114
Man	Accessories	BowTies	52
Man	Accessories	Bowties and Cummerbunds	80
Women	Accessories	BridalGloves	434
Women	Accessories	BridalHats	111
Man, Women	Accessories	BridalJewelry	1024
Women	Accessories	BridalVeils	1549
Man, Women	Accessories	Caps	55
Man, Women	Accessories	Children'sCaps&Hats	241
Man, Women	Accessories	Children'sCosplay	72
Man, Women	Accessories	Children'sHairAccessories	450
Man, Women	Accessories	Children'sScarves&Wraps	43
Man	Accessories	Children'sTies	23
Women	Accessories	Chokers	78
Women	Accessories	ClipIn/OnHairExtensions	46
Man, Women	Accessories	Colorful Jewelry	41
Women	Accessories	ContactLenses	118
Women	Accessories	CosplayWigs	50
Man	Accessories	Cufflinks	15929
Man	Accessories	CuffLinks	23
Man	Accessories	CyclingCaps&Masks	50
Man	Accessories	CyclingEyewear	87
Man	Accessories	CyclingGloves	46
Man	Accessories	CyclingHelmets	31
Man, Women	Accessories	EarCuff	23
Man, Women	Accessories	Elbow&KneePads	29
Man, Women	Accessories	Eyeglass Frames	11599
Man, Women	Accessories	Fans&Parasols	229
Man, Women	Accessories	Female>Accessories>Eyewear>Glasses	40
Women 	Accessories	Female>Accessories>Hats>Beach Hats	55
Women 	Accessories	Female>Accessories>Hats>Fedoras and Panama Hats	100
Women 	Accessories	Female>Accessories>Hats>Headbands and Hair Accessories	30
Women 	Accessories	Female>Accessories>Jewelry>Brooches	40
Women 	Accessories	Female>Accessories>Keychains	205
Women 	Accessories	Female>Accessories>Scarves>Silks and Cashmeres	142
Women 	Accessories	Female>Accessories>Umbrellas	25
Women 	Accessories	Female>Accessories>Wallets and Card Holders>Card Holders	205
Man, Women	Accessories	FingerlessGloves	49
Man, Women	Accessories	FiveFingersGloves	35
Man, Women	Accessories	Flat Sandals	228
Women	Accessories	Girls'HeadPieces	51
Women	Accessories	Girls'Petticoats	39
Women	Accessories	Gloves & Mittens	5037
Man	Accessories	GroomTies&Cummerbunds	58
Man, Women	Accessories	GuestBooks&PenSets	39
Man, Women	Accessories	Hair Dryers	969
Man, Women	Accessories	Hair Styling Tools	8848
Man, Women	Accessories	HairClips&Barrettes	29
Man, Women	Accessories	HairDryers	32
Man, Women	Accessories	HairScissors	38
Man, Women	Accessories	HairStylingTools	34
Man, Women	Accessories	HairTools	23
Man, Women	Accessories	HairTrimmer&Clipper	29
Man, Women	Accessories	HairWefts	1352
Man, Women	Accessories	Hand Held Vacuums	808
Women 	Accessories	Handbags & Accessories>Ladies Fashion Accessories>Ladies Hats	158
Women 	Accessories	Handbags & Accessories>Ladies Fashion Accessories>Pashminas	34
Women 	Accessories	Handbags & Accessories>Ladies Fashion Accessories>Rain Gear & Umbrellas	130
Women 	Accessories	Handbags & Accessories>Ladies Fashion Accessories>Reader Glasses	276
Women 	Accessories	Handbags & Accessories>Ladies Fashion Accessories>Wraps & Scarves	383
Man, Women	Accessories	Hats	13783
Women	Accessories	Headbands	62
Women	Accessories	HealthyNecklaces	25
Man	Accessories	Hidden > Men > Bags	50
Women 	Accessories	Hidden > Women > Accessories	208
Women	Accessories	HumanHairWigs	42
Man, Women	Accessories	Jewelry & Beading	37590
Man, Women	Accessories	Jewelry & Watches > DIY Jewelry > Beads	70
Man, Women	Accessories	Jewelry & Watches > DIY Jewelry > Jewelry Cordings	24
Man, Women	Accessories	Jewelry & Watches > DIY Jewelry > Jewelry Findings	94
Man, Women	Accessories	Jewelry & Watches > DIY Jewelry > Pendants & Charms	125
Man, Women	Accessories	Jewelry & Watches > DIY Jewelry > Rainbow Rubber Bands	36
Man, Women	Accessories	Jewelry & Watches > Eyewear > Creative Glasses	37
Man, Women	Accessories	Jewelry & Watches > Eyewear > Eyewear Accessories	64
Man, Women	Accessories	Jewelry & Watches > Eyewear > Reading Glasses	43
Man, Women	Accessories	Jewelry & Watches > Eyewear > Sports Glasses	72
Women	Accessories	Jewelry & Watches > Fine Jewelry > Hair Jewelry	39
Women	Accessories	Jewelry & Watches > Hair Jewelry	640
Man, Women	Accessories	Jewelry & Watches > Hair Jewelry > Hats & Caps	22
Women	Accessories	Jewelry & Watches > Hair Jewelry > Kids' Hair Jewelry	29
Man	Accessories	Jewelry & Watches > Men's Jewelry > Men's Ties & Bow Ties	59
Women	Accessories	Jewelry & Watches > Necklaces > Layered Necklaces	25
Man	Accessories	Jewelry & Watches > Necklaces > Men's Necklaces	420
Women	Accessories	Jewelry & Watches > Other Jewelry > Artificial Flowers	23
Women	Accessories	Jewelry & Watches > Other Jewelry > Brooches	311
Man	Accessories	Jewelry & Watches > Other Jewelry > Cufflinks	124
Man, Women	Accessories	Jewelry & Watches > Other Jewelry > Jewelry Boxes & Organizers	106
Man, Women	Accessories	Jewelry & Watches > Other Jewelry > Keychains	188
Man	Accessories	Jewelry & Watches > Other Jewelry > Tie Clips	28
Man, Women	Accessories	Jewelry & Watches>Birthstone Jewelry>Birthstone Babies	27
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Charms	127
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Fashion Earrings	2610
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Fashion Jewelry Sets	180
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Fashion Necklaces	1572
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Fashion Rings	399
Man, Women	Accessories	Jewelry & Watches>Fashion Jewelry>Wearable Art>Wearable Art Enhancers	34
Man, Women	Accessories	Jewelry & Watches>Gemstones>Gemstone & Diamond Accent	33
Man, Women	Accessories	Jewelry & Watches>Jewelry Boxes & Armoires	489
Man, Women	Accessories	Jewelry & Watches>Sterling Silver>Fine Sterling Silver Jewelry	70
Man, Women	Accessories	Jewelry & Watches>Sterling Silver>Sterling Silver & Silver Plated	25
Man, Women	Accessories	Jewelry & Watches>Top Brands>Black Hills Gold	31
Man, Women	Accessories	Jewelry Accessories	33432
Man	Accessories	Kids & Teens>Boys 4-20>Boys 8-20>Boys 8-20 Accessories	34
Women 	Accessories	Kids & Teens>Girls 4-16>Girls Accessories>More Accessories for Girls	32
Man, Women	Accessories	Kids>Accessories>Bags	100
Man, Women	Accessories	Kids>Accessories>Bib	55
Man, Women	Accessories	Kids>Accessories>Fashion Jewelry	43
Women	Accessories	Kids>Accessories>Hair Accessories	33
Women	Accessories	LaceWigs	348
Women	Accessories	Ladies>Misses>Misses Calvin Klein Apparel>Calvin Klein Performance	26
Women	Accessories	Lockets	114
Women	Accessories	Long Scarves	125
Man	Accessories	Male>Accessories>Eyewear>Glasses	280
Man	Accessories	Male>Accessories>Gloves	65
Man	Accessories	Male>Accessories>Hats>Beanies	30
Man	Accessories	Male>Accessories>Hats>Caps and Flat Caps	205
Man	Accessories	Male>Accessories>Hats>Structured Hats	185
Man	Accessories	Male>Accessories>Jewelry>Pins	25
Man	Accessories	Male>Accessories>Keychains	125
Man	Accessories	Male>Accessories>Pocket Squares and Tie Bars	60
