PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Luminox Night View - Black Face - Black PC/Carbon Case - Date -  100 Meters	watches, watch, wristwatch, wrist watch, Luminox, mens watch, watch for man, mens watches	Black PC/Carbon Case Shock Resistant Multi Jewel Swiss Quartz Movement Extremely Soft Black Rubber Strap with Stainless Steel Buckle Clasp Date Window at the 12 o'clock position 12/24 Hour Markers Self-Powered Swiss Illumination System - Boroscilicate Gas Capsules  Doesn't Run Down a Battery No need to push a button or charge it in a well-lit area Glows continuously for 25 Years Guaranteed for 10 Years  Unidirectional Rotating Bezel with Luminescent Dot Water Resistant to 100 Meters (330 Feet) 40mm Case Width not including Crown	0101	Luminox	0101	746469010111		USD		180.00	225.00		http://www.tkqlhce.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F0101.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/0101-z.jpg	mens watches										yes	Save 20%, And You'll Receive Free Shipping & a Free Gift with Purchase					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Luminox Night View - Gray Face - Black Rubber Strap - Date	watches, watch, wristwatch, wrist watch, Luminox, mens watch, watch for man, mens watches	Black PC/Carbon Case Swiss Quarz Movement Shock Resistant One-Way Rotating Bezel with Luminescent Dot Date at the 3 o'clock position The Ultimate Swiss Self-Powered Illumination System  Micro Gas Lights: Borosilicate Glass Capsules  Never Require Charging Never Run-Down a Battery Always Reliable: You never have to worry about them being charged in light, or having to press a button while wearing gloves or other equipment; the capsules continuously glow so they are there for you when you need them. Guaranteed for 10 Years  Mineral Glass Crystal Water Resistant to 100 Meters (330 Feet)  Extremely Soft Rubber Strap with Stainless Steel Buckle 40mm Case Width not including Crown	0102	Luminox	0102	746469010227		USD		180.00	225.00		http://www.tkqlhce.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F0102.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/0102-z.jpg	mens watches										yes	Save 20%, And You'll Receive Free Shipping & a Free Gift with Purchase					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Luminox Night View - Blue Face - Black Rubber Strap - Date	watches, watch, wristwatch, wrist watch, Luminox, mens watch, watch for man, mens watches	Black PC/Carbon Case Swiss Quarz Movement Shock Resistant One-Way Rotating Bezel with Luminescent Dot Date at the 3 o'clock position The Ultimate Swiss Self-Powered Illumination System  Micro Gas Lights: Borosilicate Glass Capsules  Never Require Charging Never Run-Down a Battery Always Reliable: You never have to worry about them being charged in light, or having to press a button while wearing gloves or other equipment; the capsules continuously glow so they are there for you when you need them. Guaranteed for 10 Years  Mineral Glass Crystal Water Resistant to 100 Meters (330 Feet)  Extremely Soft Rubber Strap with Stainless Steel Buckle 40mm Case Width not including Crown	0103	Luminox	0103	746469010333		USD		180.00	225.00		http://www.tkqlhce.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F0103.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/0103-z.jpg	mens watches										yes	Save 20%, And You'll Receive Free Shipping & a Free Gift with Purchase					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Luminox Night View - Yellow Face - Black Rubber Strap - Date	watches, watch, wristwatch, wrist watch, Luminox, mens watch, watch for man, mens watches	Black PC/Carbon Case Swiss Quarz Movement Shock Resistant One-Way Rotating Bezel with Luminescent Dot Date at the 3 o'clock position The Ultimate Swiss Self-Powered Illumination System  Micro Gas Lights: Borosilicate Glass Capsules  Never Require Charging Never Run-Down a Battery Always Reliable: You never have to worry about them being charged in light, or having to press a button while wearing gloves or other equipment; the capsules continuously glow so they are there for you when you need them. Guaranteed for 10 Years  Mineral Glass Crystal Water Resistant to 100 Meters (330 Feet)  Extremely Soft Rubber Strap with Stainless Steel Buckle 40mm Case Width not including Crown	0105	Luminox	0105	746469010555		USD		180.00	225.00		http://www.anrdoezrs.net/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F0105.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/0105-z.jpg	mens watches										yes	Save 20%, And You'll Receive Free Shipping & a Free Gift with Purchase					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Luminox Night View - White Face - Black Rubber Strap - Date	watches, watch, wristwatch, wrist watch, Luminox, mens watch, watch for man, mens watches	Black PC/Carbon Case Swiss Quarz Movement Shock Resistant One-Way Rotating Bezel with Luminescent Dot Date at the 3 o'clock position The Ultimate Swiss Self-Powered Illumination System  Micro Gas Lights: Borosilicate Glass Capsules  Never Require Charging Never Run-Down a Battery Always Reliable: You never have to worry about them being charged in light, or having to press a button while wearing gloves or other equipment; the capsules continuously glow so they are there for you when you need them. Guaranteed for 10 Years  Mineral Glass Crystal Water Resistant to 100 Meters (330 Feet)  Extremely Soft Rubber Strap with Stainless Steel Buckle 40mm Case Width not including Crown	0107	Luminox	0107	746469010777		USD		180.00	225.00		http://www.kqzyfj.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F0107.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/0107-z.jpg	mens watches										yes	Save 20%, And You'll Receive Free Shipping & a Free Gift with Purchase					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Skagen Mens Watch - Titanium case - Charcoal grey dial - Titanium link band.	watches, watch, wristwatch, wrist watch, Skagen, mens watch, watch for man, mens watches	Round titanium case, titanium link band w/ clasp closure, charcoal grey dial w/ 12 slash indicators, titanium hour, minute & second hands w/ date function. 30 meters water resistant.	105LTX	Skagen	105LTX	768680015850		USD		125.00	125.00		http://www.jdoqocy.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F105LTX.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/105LTX-z.jpg	mens watches										yes	Free Shipping					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Skagen Classic Ladies Mesh - Gold Tone - White Face - Swarovski&reg Crystals	watches, watch, wristwatch, wrist watch, Skagen, womens watch, women's watches, ladies watch, ladies watches	Gold-Tone Stainless Steel Case and Bracelet Mirror Polished Bezel White Face Round Feminine Case CRYSTALLAIZED&#153 with SWAROVSKI&reg Crystals Water Resistant to 30 Meters (100ft) Ultra Smooth Mesh Band	107SGGD	Skagen	107SGGD	768680030594		USD		110.00	110.00		http://www.jdoqocy.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F107SGGD.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/107SGGD-z.jpg	womens watches										yes	Free Shipping					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Skagen Ladies Brown Leather & Gold Tone Dress Watch - 12 Swarovski Crystals	watches, watch, wristwatch, wrist watch, Skagen, womens watch, women's watches, ladies watch, ladies watches	Gold Tone Hypo-Allergenic Nickel Safe Stainless Steel Case White Dial with 12 Dazzling Swarovski Crystal Hour Markers Hour, Minute and Second Hands Water Resistant to 30 Meters (100 Feet) Genuine Leather Strap features a Tang Buckle Clasp 25mm Case Width (Approximately 1")	107SGLD	Skagen	107SGLD	768680103687		USD		110.00	110.00		http://www.kqzyfj.com/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F107SGLD.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/107SGLD-z.jpg	womens watches										yes	Free Shipping					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Skagen Ladies Steel - Rose Gold Tone - Brown Dial - Brown Leather Strap	watches, watch, wristwatch, wrist watch, Skagen, womens watch, women's watches, ladies watch, ladies watches	Rose Gold Tone Nickel Safe Stainless Steel Case and Bracelet Metallic Brown Dial 12 Genuine Swarovski Crystal Hour Indicators Japanese Quartz Movement Water Resistant to 30 Meters (100 Feet) Genuine Leather Strap features a Tang Buckle Clasp 24mm Case Width (Approximately 1")	107SRLD	Skagen	107SRLD	768680111163		USD		110.00	110.00		http://www.dpbolvw.net/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F107SRLD.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/107SRLD-z.jpg	womens watches										yes	Free Shipping					yes	new	Original Manufacturer's Warranty	0.00
Princeton Watches	http://www.princetonwatches.com	Princeton Watches Product Catalog	2009-08-23 00:00:00.0	Skagen Classic Ladies Mesh - Rose Tone - Mother of Pearl - Swarovski Crystals	watches, watch, wristwatch, wrist watch, Skagen, womens watch, women's watches, ladies watch, ladies watches	Rose Gold-Tone Stainless Steel Case and Bracelet Hypo-Allergenic, Nickel Safe Case and Bracelet Mirror Polished Bezel White Face Round Feminine Case CRYSTALLAIZED with SWAROVSKI Crystals Water Resistant to 30 Meters (100ft) Ultra Smooth Mesh Band Adjustable Safety Clasp 25mm Case Width (Approximately 1")	107SRRD	Skagen	107SRRD	768680084900		USD		110.00	110.00		http://www.anrdoezrs.net/click-7893798-10282442?url=http%3A%2F%2Fwww.princetonwatches.com%2Fshop%2F107SRRD.asp	http://www.tqlkg.com/image-7893798-10282442	http://www.princetonwatches.com/images/watches/107SRRD-z.jpg	womens watches										yes	Free Shipping					yes	new	Original Manufacturer's Warranty	0.00
