PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.695	Mavic Rodas cósmicas cheia de carbono rodas de bicicleta de estrada 50 milímetros aro 23 milímetros de largura de sarja rodas de bicicletas tecer rodado 700C competência da bicicleta 38 60 88 milímetros aro		Lugar de origem: Taiwan is_customized: Finalização Sim Bora Dois: pintura Material da roda: Carbono Tamanho: 50mm Raio Hole: estilo 20-24H: Bora Dois tecelagem: material de 3k: carbono	210477316					USD		369.43			http://www.dpbolvw.net/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Fmavic-wheels-full-carbon-road-bike-wheels%2F210477316.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g3/M01/B7/E3/rBVaHVSvkc2AedFiAAJ792j5Pug892.jpg	Rodas de bicicleta																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.695	Rolo removedor de acnes DRS 540		Frete Grátis + DRS 540 rolos de agulhas derma , DRS rolo dermaroller microneedle para remoção de acne	168689845					USD		374			http://www.tkqlhce.com/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Fdrs-540-needle-derma-roller-drs-dermaroller%2F168689845.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/albu_414998839_00/1.600x600.jpg	Micro-agulharolo																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.695	AAA Original LCD iPhone 5 5S 5C visor LCD para iPhone 5 5S 5C Não Spots sem pixeis mortos sem linhas de tela de toque e tela de exibição		AAA LCD de qualidade para iPhone 5S / 5G / 5C visor LCD	259973902					USD		301.6			http://www.kqzyfj.com/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Fspecial-link-original-lcd-display-for-iphone%2F259973902.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g3/M01/69/95/rBVaHFbZEpqAU13-AAGi1hhkYJY669.jpg	Celular LCDePainéis de toque																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.696	O mais baixo preço Cryolipolysis Sistema Congelar Cryolipolysis emagrecimento máquina Fat		Preço Cryolipolysis Sistema Fat Congelar Cryolipolysis emagrecimento máquina 1 tem sensor de temperatura 2 crio portátil máquinas lipólise 3 40kHz cavitação + 5MHz RF 4 8pcs almofadas de laser lipo 5 com display de 2 Idioma: Inglês e Espanhol	191283974					USD		1357.15			http://www.anrdoezrs.net/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Flowest-price-cryolipolysis-system-fat-freeze%2F191283974.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/albu_721112343_00/1.600x600.jpg	Máquinadeemagrecimento																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.696	100% Original Dji Fantasma 3 Standard de alta qualidade helicóptero FPV Câmara Drone RC com 2.7K câmera HD e 3-Axis Gimbal		Caros compradores, se você está satisfeito com nossos produtos, por favor me ajude a dar-nos um feedback positivo. Quaisquer problemas serão resolvidos após a cooperação ativa e uma boa comunicação!	381441970					USD		541.41			http://www.anrdoezrs.net/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2F100-original-dji-phantom-3-standard-high%2F381441970.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g4/M01/18/E4/rBVaEFcyjy-AaknIAACtmy2ZpCo534.jpg																	yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.696	5pcs / lot G110 relogio relógios dos esportes dos homens, LED relógio de pulso cronógrafo, relógio militar, relógio digital, bom presente para o menino dos homens, dropship		Vendidos G relógio preço de fábrica estoque suficiente atacado, mais modelo disponível, o contato para o meu álbum	270534898					USD		40.22			http://www.dpbolvw.net/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2F5pcs-lot-relogio-g110-men-039-s-sports-watches%2F270534898.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g1/M00/98/69/rBVaGVZ3eOaAZP79AAK3B6eDCcw485.jpg	Relógiosde pulso																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.697	1000W micro laço da grade do inversor para painel solar em casa na Grade Função MPPT		1000W 24V do laço da Grade micro inversor, DC20V~40V, AC90V-140V ou 190V-260V para 1200W 24V painel Solar e Eólica	241646927					USD		131.15			http://www.kqzyfj.com/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2F1000w-micro-grid-tie-inverter-for-solar-panel%2F241646927.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g1/M01/30/49/rBVaGVVrKC6AOW6sAAX8Amyd9Xc565.jpg	TransformadoreInversor																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.697	maquiagem profissional de atacado e varejo 2016 Hot New ROUGEALEVRES creme amplificado 3g BATOM (40pcs / lot) frete grátis		20 cores 40pcs / frete grátis monte por correio swden ou pós nl	374065849					USD		46.74			http://www.jdoqocy.com/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Fprofessional-makeup-wholesale-and-retail%2F374065849.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g2/M01/37/D9/rBVaG1bFkjOABSa9AAI4eba17PE876.jpg	Batom																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.697	espartilhos de formação 9 óssea aço látex de borracha corpo corset shaper cintura instrutor do espartilho do látex espartilho Latex cintura Cincher Slimming Shapewear		Tipo: Sexy Corset Estilo: formação cintura espartilho Cor: Preto, Azul, Rosa, Roxo Tamanho: S ~ 6XL Suit Crowd: Mulheres	373223156					USD		231			http://www.kqzyfj.com/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2F9-steel-bone-latex-rubber-corset-body-shaper%2F373223156.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g2/M00/81/85/rBVaG1anS-eAXPzXAAHTWnKVTsI703.jpg	Cinturaebarriga Modelador																yes			
DHGate	http://www.dhgate.com/	Portuguese Product Catalog	2016-06-16 00:55:31.697	Alta qualidade Celular Capa Infinix Zero 2 X509 Celular Atacado suave TPU Frete Grátis		Caso Transparente fitable Moda Pudding macio Multi cor Mobile Phone Accessories frete grátis por DHL (para a maioria dos países) com número de seguimento	255893486					USD		246			http://www.dpbolvw.net/click-7893798-12274193?url=http%3A%2F%2Fpt.dhgate.com%2Fproduct%2Fhigh-quality-phone-cases-for-infinix-zero%2F255893486.html	http://www.tqlkg.com/image-7893798-12274193	http://image.dhgate.com/600x600/f2/albu/g1/M00/9B/97/rBVaGFX6chyARBtgAAEiBYrN8N4907.jpg	CasesparaCelulares																yes			
