PROGRAMNAME	PROGRAMURL	CATALOGNAME	LASTUPDATED	NAME	KEYWORDS	DESCRIPTION	SKU	MANUFACTURER	MANUFACTURERID	UPC	ISBN	CURRENCY	SALEPRICE	PRICE	RETAILPRICE	FROMPRICE	BUYURL	IMPRESSIONURL	IMAGEURL	ADVERTISERCATEGORY	THIRDPARTYID	THIRDPARTYCATEGORY	AUTHOR	ARTIST	TITLE	PUBLISHER	LABEL	FORMAT	SPECIAL	GIFT	PROMOTIONALTEXT	STARTDATE	ENDDATE	OFFLINE	ONLINE	INSTOCK	CONDITION	WARRANTY	STANDARDSHIPPINGCOST
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.443	Color Block Striped Print Cut-out Front One Piece Swimsuit	color block,striped print,cut-out front,swimsuits,bathing suits,designer swimwear,modest swimwear,fantasie swimwear,ladies swimwear,one piece swimsuit	the swimsuit is made from polyester and spandex with color block, striped print, cut-out front and tie back	OP64471	OASAP	OASAP			USD	18.99	34.99	34.99	no	http://www.kqzyfj.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fswimwear%2F64471-color-block-striped-print-cut-out-front-one-piece-swimsuit.html	http://www.awltovhc.com/image-7893798-11634729	http://image4.oasap.com/o_img/2016/01/14/64471-530403-home/color-block-striped-print-cut-out-front-one-piece-swimsuit.jpg	Swimwear	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.444	Fashion Turtleneck Oblique Zip Drawstring Hooded Sweatshirt	chic sweatshirt,good-looking sweatshirt,modern sweatshirt,fancy sweatshirt,fashion sweatshirt,comfortable sweatshirt,long sleeve sweatshirt,hooded sweatshirt,grey sweatshirt	the hooded sweatshirt is featuring turtleneck, oblique zip front, drawstring design, long sleeve and slanted pocket.	OP62665	OASAP	OASAP			USD	20.9	29.99	29.99	no	http://www.anrdoezrs.net/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fsweatshirts-hoodies%2F62665-fashion-turtleneck-oblique-zip-drawstring-hooded-sweatshirt.html	http://www.awltovhc.com/image-7893798-11634729	http://image4.oasap.com/o_img/2015/11/20/62665-504881-home/fashion-turtleneck-oblique-zip-drawstring-hooded-sweatshirt.jpg	Hoodies/Sweatshirts	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-11-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.444	Crossed Halter High Waist Two Piece Swimsuit	two piece swimsuit,halter swimmsuit,crossed swimsuit,high waist bikini,swimsuits,bathing suits,designer swimwear,modest swimwear,fantasie swimwear,ladies swimwear	the swimsuit is made from polyester and spandex with crossed halter design, tie back and high waist buttom.	OP64430	OASAP	OASAP			USD	20.99	39.99	39.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fswimwear%2F64430-crossed-halter-high-waist-two-piece-swimsuit.html	http://www.awltovhc.com/image-7893798-11634729	http://image9.oasap.com/o_img/2016/01/12/64430-529861-home/crossed-halter-high-waist-two-piece-swimsuit.jpg	Swimwear	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.445	Floral Stylish Surplice Front Romper	sleevelesss romper,sweet romper,women romper,chic romper,floral print romper,v neck romper,elastic waist romper,summer romper,fashion romper,surplice front romper,sexy romper,open back romper	the romper featuring spaghetti strap. plunging neckline. sleeveless. open back with cross strap.	OP58476	OASAP	OASAP			USD	17.99	39.99	39.99	no	http://www.jdoqocy.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fjumpsuits-playsuits%2F58476-floral-stylish-surplice-front-romper.html	http://www.awltovhc.com/image-7893798-11634729	http://image10.oasap.com/o_img/2015/07/08/58476-433927-home/floral-stylish-surplice-front-romper.jpg	Jumpsuits & Rompers	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.445	Chic Deep V Flouncing Chiffon Party Dress	chic dresses,fancy dresses,modern dresses,fashion dresses,comfortable dresses,chiffon dresses,party dresses,evening dresses,long dress,v neck dresses,maxi dresses	the dress made from chiffon with deep v, flouncing design and sleeve style.	OP63050	OASAP	OASAP			USD	31.99	54.99	54.99	no	http://www.kqzyfj.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fmidi-maxi%2F63050-chic-deep-v-flouncing-chiffon-party-dress.html	http://www.awltovhc.com/image-7893798-11634729	http://image5.oasap.com/o_img/2015/11/25/63050-511307-home/chic-deep-v-flouncing-chiffon-party-dress.jpg	Midi & Maxi	Dresses	Dresses								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.445	Navy Floral Crossover Rompers	floral rompers,floral playsuits,blue playsuits,navy playsuits,navy rompers,floral rompers,sexy rompers,womens rompers,crossover rompers,rompers,playsuits,women rompers,women playsuits,ladies	the rompers featuring floral print. plunging v neckline. sleeveless. crossover at back.	OP59241	OASAP	OASAP			USD	17.99	39.99	39.99	no	http://www.kqzyfj.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fjumpsuits-playsuits%2F59241-navy-floral-crossover-rompers.html	http://www.awltovhc.com/image-7893798-11634729	http://image7.oasap.com/o_img/2015/08/04/59241-446993-home/navy-floral-crossover-rompers.jpg	Jumpsuits & Rompers	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.446	Women's Fashion Two Piece Floral Print Beach Swimwear	two piece swimwear,beach swimwear,summer swimwear,print swimwear,fashion swimwear,swimsuits,bathing suits,ladies swimwear	the two piece swimwear is featuring floral print, high waist and slim fit.	OP65604	OASAP	OASAP			USD	14.99	25.99	25.99	no	http://www.jdoqocy.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fswimwear%2F65604-women-s-fashion-two-piece-floral-print-beach-swimwear.html	http://www.awltovhc.com/image-7893798-11634729	http://image3.oasap.com/o_img/2016/03/31/65604-550902-home/women-s-fashion-two-piece-floral-print-beach-swimwear.jpg	Swimwear	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.446	Classic Blue And White Striped Button Down Shirt	fashionable shirts,good-looking shirts,fancy shirts,attractive shirts,comfortable shirts,charming shirts,collared shirts,button down shirts,long sleeve shirts,dress shirts	the blue and white striped shirt is featuring breast pocket, long sleeve, button down.	OP62240	OASAP	OASAP			USD	15.99	19.99	19.99	no	http://www.jdoqocy.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fbutton-down-shirts%2F62240-classic-blue-and-white-striped-button-down-shirt.html	http://www.awltovhc.com/image-7893798-11634729	http://image3.oasap.com/o_img/2015/11/10/62240-498063-home/classic-blue-and-white-striped-button-down-shirt.jpg	Button Down Shirts	Blouses/Shirts	Blouses/Shirts								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.447	Women Black Scalloped Trim Bow Bandeau One Piece Swimsuit	halter swimsuit,scalloped trim swimsuit,swimsuits,bathing suits,designer swimwear,modest swimwear,fantasie swimwear,ladies swimwear,one piece swimsuit	the swimwear is made from polyester and spandex with scalloped trim, bow front, cut-out back, one piece.	OP65605	OASAP	OASAP			USD	16.99	29.99	29.99	no	http://www.tkqlhce.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fswimwear%2F65605-women-black-scalloped-trim-bow-bandeau-one-piece-swimsuit.html	http://www.awltovhc.com/image-7893798-11634729	http://image4.oasap.com/o_img/2016/03/31/65605-553402-home/women-black-scalloped-trim-bow-bandeau-one-piece-swimsuit.jpg	Swimwear	Clothing	Clothing								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
OASAP	http://www.oasap.com/	OASAP Product Catalog	2016-06-22 12:15:38.447	Favourite V Neck Lace Paneled Skater Dress	white dress,black dress,woman dress,sleeveless dress,v neck dress,paneled dress,mini dress,sweet dress,cute dress,a line dress,party dress	the dress featuring solid chic with lace paneled design. backless. a line silhouette.	OP59168	OASAP	OASAP			USD	16.99	24.99	24.99	no	http://www.jdoqocy.com/click-7893798-11634729?url=http%3A%2F%2Fwww.oasap.com%2Fday%2F59168-favourite-v-neck-lace-paneled-skater-dress.html	http://www.awltovhc.com/image-7893798-11634729	http://image9.oasap.com/o_img/2015/08/01/59168-445945-home/favourite-v-neck-lace-paneled-skater-dress.jpg	Day	Dresses	Dresses								yes	Free shipping worldwide	2016-06-22 00:00:00.0	2016-08-22 12:00:00.0	yes	yes	yes	new		
